Name der Klinik,Textuelle Bewertung,Sternebewertung,Datum der Bewertung,Likes
Herzogin Elisabeth Hospital,"Vor der Corona Pandemie hätte ich jeden zugestimmt, mittlerweile ist nur noch die Empfangsdame dort zu gebrauchen. Ärzte und Pfleger sind einfach unfreundlich geworden und wird innerhalb kürzester Zeit nichts aufgefunden wird man als spinner abgestempelt und entlassen.**Kommt bitte wieder zu eurer alten Leistung sonst müssen wir Braunschweiger bald in umliegenden städte ins Krankenhaus",2,vor 3 Wochen,1
Herzogin Elisabeth Hospital,"Tolles Krankenhaus,  trotzdem bin ich lieber gesund. War auch nur zu Besuch hier, kann die Ärzte usw. nicht beurteilen",4,vor einem Jahr,1
Herzogin Elisabeth Hospital,"Lungenembolie!**Ein Tag ITS, phantastische Fürsorge und Betreuung.**Vier Tage Station E. Tolle Schwestern und Pfleger, die alles in ihrer Macht (und Kraft) stehende getan haben.",5,vor 2 Monaten,1
Herzogin Elisabeth Hospital,Alles sehr gut. Volle Punktzahl!,5,vor 3 Jahren,4
Herzogin Elisabeth Hospital,Ich werde nie wieder in ein anderes Krankenhaus gehen wenn es nötig ist. Die sind alle sehr nett und zuvorkommend. Ich bin sehr zufrieden!!!,5,vor 2 Monaten,1
Herzogin Elisabeth Hospital,Ich bin begeistert von der Leistung des Assistenzarztes Dr. med. Nico Fiedler. Er im Rahmen meiner Hüft OP einen fantastischen Job gemacht.,5,vor einem Monat,1
Herzogin Elisabeth Hospital,"Eine 100%tige Empfehlung.**Tolles Personal, alle freundlich und aufmerksam.",5,vor einem Monat,2
Herzogin Elisabeth Hospital,"Am 20.02.2021 mit akutem Herzinfarkt puppenlustig und völlig ahnungslos um 17.00 Uhr in die Notaufnahme. Eigentlich wollte ich nur eine Schmerzspritze und dann wieder nach Hause. Ich bin genau an das richtige und tolle Team geraten. Doktor mit zwei perfekten Krankenschwestern. Vermutlich haben die drei mir das Leben gerettet!!! Ich dachte noch alles ist Spaß, bin dann aber schnell mit Blaulicht in die Salzdahlumer Str eingeliefert, wo mir noch am Abend zwei Stents gesetzt wurden. In beiden Häusern beste Teams und beste Pflege. Vielen Dank. Mir geht es wieder sehr gut.",4,vor einem Monat,1
Herzogin Elisabeth Hospital,"Vor 6 Wochen Hüft Tep links bekommen. Fühlte mich super aufgehoben! Alles top gelaufen! Auch in der Reha traf ich Patienten, die im HEH operiert wurden und sehr zufrieden waren!",5,vor 2 Monaten,1
Herzogin Elisabeth Hospital,Ich war heute Abend 21:30 in der Notaufnahme mit starken schmerzen (Fraktur schienbein&wadenbein) die haben mich weg geschickt mit der Aussage ich solle doch bitte in ein anderes kh in die Notaufnahme fahren ...oder morgen (montag) anrufen um mir einen termin in der Sprechstunde geben zu lassen ...**Man wird da nicht ernst genommen ...es wird nicht auf die Patienten eingegangen ..also wirklich traurig für eine Klinik die auf sowas spezialisiert sein soll ...,1,vor 2 Monaten,2
Herzogin Elisabeth Hospital,OP 07/20. Mir wurde von Dr. Sherstyuk ein 2tes Leben geschenkt. Gute Vorbereitung im MMK. Personal sehr freundlich und bemüht. Auch in Corona Zeiten fühlte ich mich gut aufgehoben.,5,vor 2 Monaten,1
Herzogin Elisabeth Hospital,"TOP-Hospital .. . TOP-Ärzte ... TOP-Personal :**Der Ärztin Frau Dr. Musiot und dem Arzt Herr Dr. Wanschura sei herzlich an dieser Stelle gedankt. Ebenso dem medizinischen Personal auf der Station E im Erdgeschoss. Mit Kompetenz, Einsatz und medizinischem Know-How haben Sie das Leben meiner Mutter gerettet. Mehr ist dem - glaube ich - nicht hinzuzufügen, außer:  Ich danke Ihnen von Herzen !",5,vor 2 Monaten,1
Herzogin Elisabeth Hospital,"Es war alles im Vorfeld super organisiert und wurde dementsprechend gut umgesetzt. Ich kann es mir vom Ablauf und der Unterbringung in einem Krankenhaus nicht besser vorstellen. Von den Ärzten, über die Pfleger/Schwestern bis zur Reinigungskraft kommt eine durchweg gute, freundliche und tolle Stimmung/Atmosphäre rüber. So sollte das sein, wobei der Alltag sicherlich alles andere als Entspannt und ruhig ist! Die Zimmer, das Essen, Technik, Service etc. alles einfach top und zeitgemäß. Ich fühlte mich zu jeder Zeit sicher und geborgen! HEH wirklich stark!",5,vor 3 Monaten,1
Herzogin Elisabeth Hospital,"Sehr schönes Krankenhaus, kann man jedem empfehlen.",5,vor 3 Monaten,1
